Symbol,Company,Sector,Quantity,AvgPrice,CurrentPrice,PE,ROE,ROCE,DebtEquity,RevenueGrowth,ProfitGrowth,Volatility
WIPRO,Wipro,IT,204,255.71,245,54.49,36.98,44.87,0.44,12.92,14.19,19.71
POWERGRID,Power Grid Corporation,Power,172,278.52,290,17.49,16.68,23.21,0.59,17.34,12.38,24.79
COALINDIA,Coal India,Mining,128,483.35,390,15.35,9.28,12.53,1.31,0.31,23.82,31.05
NESTLEIND,Nestle India,FMCG,42,1132.43,1200,43.63,28.27,33.96,0.08,18.57,11.19,19.29
JSWSTEEL,JSW Steel,Metals,45,1125.85,1100,15.34,11.82,16.52,1.42,1.29,16.49,31.41
TATASTEEL,Tata Steel,Metals,303,150.59,165,10.8,23.98,27.93,1.18,-1.48,8.75,27.69
GRASIM,Grasim Industries,Conglomerate,18,3437.98,2800,45.66,11.28,8.84,1.13,32.26,36.38,38.1
TECHM,Tech Mahindra,IT,34,1237.35,1450,44.62,33.61,24.68,0.54,15.5,7.13,24.56
CIPLA,Cipla,Pharma,32,1419.68,1550,52.86,20.54,33.54,0.08,8.39,16.4,17.88
DRREDDY,Dr Reddys Laboratories,Pharma,40,1118.79,1250,27.13,34.31,18.68,0.16,13.35,22.39,24.88
EICHERMOT,Eicher Motors,Automobile,7,7047.43,6900,22.47,23.34,23.03,0.79,14.92,10.24,18.06
HINDALCO,Hindalco Industries,Metals,66,774.71,760,6.15,21.35,20.07,1.35,15.98,11.37,23.35
APOLLOHOSP,Apollo Hospitals Enterprise,Healthcare,7,8945.34,7600,24.46,35.57,22.09,0.5,17.35,21.63,20.32
DIVISLAB,Divis Laboratories,Pharma,8,6909.78,6200,23.6,17.71,42.97,0.49,12.28,17.55,26.92
BRITANNIA,Britannia Industries,FMCG,8,4973.18,5900,54.17,21.97,42.99,0.49,7.32,19.52,27.35
HEROMOTOCO,Hero MotoCorp,Automobile,10,4494.19,5200,38.33,25.7,29.17,0.34,17.02,7.16,30.97
BPCL,Bharat Petroleum Corporation,Energy,158,357.25,316,19.07,8.38,12.67,0.6,13.7,1.83,30.29
INDUSINDBK,IndusInd Bank,Banking,64,834.86,780,27.29,19.81,12.43,3.04,16.98,14.79,33.47
SBILIFE,SBI Life Insurance,Insurance,27,1490.04,1820,12.31,11.08,11.21,2.48,21.48,12.51,33.53
HDFCLIFE,HDFC Life Insurance,Insurance,66,677.11,760,16.27,12.55,14.51,4.31,13.39,17.8,27.7
TATACONSUM,Tata Consumer Products,FMCG,43,1472.86,1150,52.4,22.74,18.03,0.4,16.65,18.4,23.54
BAJAJ-AUTO,Bajaj Auto,Automobile,5,8331.87,9100,23.92,15.57,20.17,0.86,16.08,11.01,23.02
SHRIRAMFIN,Shriram Finance,Finance,66,784.21,760,15.91,19.03,13.39,3.81,21.17,19.51,20.04
TRENT,Trent,Retail,9,5751.83,5300,29.79,21.78,21.3,0.36,12.02,16.6,18.01
BEL,Bharat Electronics,Defence,122,415.06,410,20.77,11.53,22.31,0.91,17.14,8.39,25.57
HAL,Hindustan Aeronautics,Defence,10,4454.83,4800,24.05,13.58,12.49,0.78,15.42,9.49,31.09
DLF,DLF,Real Estate,61,916.12,820,58.76,8.31,18.53,0.23,21.53,28.89,51.54
VBL,Varun Beverages,FMCG,96,513.65,520,28.54,16.56,28.33,0.02,16.76,20.09,25.18
SIEMENS,Siemens India,Capital Goods,16,3709.43,3200,40.87,18.22,28.03,0.15,9.49,21.97,26.29
ABB,ABB India,Capital Goods,10,4754.24,5200,41.67,22.95,22.1,0.96,18.48,17.25,27.53
PIDILITIND,Pidilite Industries,Chemicals,16,2648.74,3100,29.79,14.45,24.75,0.77,12.65,10.18,32.36
GODREJCP,Godrej Consumer Products,FMCG,40,1096.56,1250,38.25,20.52,25.27,0.17,8.01,11.86,24.77
DABUR,Dabur India,FMCG,93,522.31,540,24.84,23.78,31.74,0.39,16.18,8.09,19.24
MARICO,Marico,FMCG,71,717.64,700,27.24,34.56,38.2,0.5,14.59,18.82,21.88
COLPAL,Colgate-Palmolive India,FMCG,20,2555.33,2450,20.21,24.06,37.68,0.42,18.09,23.21,20.92
MCDOWELL-N,United Spirits,Beverages,34,1398.69,1450,31.29,16.05,25.58,0.3,12.1,5.58,21.53
UBL,United Breweries,Beverages,26,2010.25,1950,19.46,17.09,23.29,0.21,14.71,5.54,25.48
DMART,Avenue Supermarts,Retail,13,4919.66,3900,32.35,13.81,18.54,0.52,6.7,12.58,20.17
NYKAA,FSN E-Commerce Ventures,Retail,217,202.15,230,25.24,10.35,22.79,0.85,9.53,6.64,30.03
ZOMATO,Eternal,Internet,152,264.01,330,52.5,21.14,9.59,0.97,26.99,32.63,46.95
PAYTM,One 97 Communications,Fintech,40,1583.12,1250,42.62,16.89,19.8,0.85,24.97,16.54,34.9
POLICYBZR,PB Fintech,Fintech,28,2095.8,1800,65.36,6.84,6.46,0.27,30.84,38.94,49.2
NAUKRI,Info Edge India,Internet,37,1456.91,1350,68.87,16.74,17.29,0.57,28.45,12.28,54.04
IRCTC,Indian Railway Catering & Tourism,Travel,69,869.68,720,35.86,24.09,18.94,0.64,7.69,24.68,31.6
INDIGO,InterGlobe Aviation,Aviation,9,5706.5,5600,53.53,6.79,23.29,0.51,31.54,34.67,43.64
GAIL,GAIL India,Energy,270,171.5,185,19.26,12.32,24.36,0.77,12.41,23.96,34.73
IOC,Indian Oil Corporation,Energy,362,133.6,138,13.74,21.29,10.65,1.15,2.64,20.55,29.84
PETRONET,Petronet LNG,Energy,161,259.55,310,9.9,21.62,12.45,0.99,4.96,-4.14,30.36
TATAPOWER,Tata Power,Power,125,454.7,400,18.77,8.16,27.01,1.34,11.72,3.29,28.13
ADANIGREEN,Adani Green Energy,Renewables,48,1280.12,1050,71.0,13.34,20.27,0.95,27.88,29.38,43.24
ADANIPOWER,Adani Power,Power,83,728.39,600,9.55,16.49,17.08,0.6,9.21,9.2,34.45
NHPC,NHPC,Power,588,75.18,85,11.29,11.08,11.27,0.55,2.28,-1.38,34.65
SJVN,SJVN,Power,526,92.07,95,18.2,23.63,18.97,0.48,7.17,16.74,25.33
PFC,Power Finance Corporation,Finance,116,470.97,430,12.01,15.34,9.29,2.75,10.51,8.24,21.11
RECLTD,REC,Finance,128,315.04,390,21.07,18.73,12.89,2.19,20.16,16.34,29.16
IRFC,Indian Railway Finance Corporation,Finance,400,124.92,125,18.81,18.22,10.81,1.78,21.17,16.12,20.95
BANKBARODA,Bank of Baroda,Banking,204,300.68,245,22.59,19.94,7.42,2.32,15.88,13.17,18.86
PNB,Punjab National Bank,Banking,435,100.94,115,22.13,14.43,16.32,2.74,15.32,15.66,30.65
CANBK,Canara Bank,Banking,417,96.36,120,16.11,12.08,8.53,4.85,18.36,24.11,27.94
UNIONBANK,Union Bank of India,Banking,357,128.39,140,13.14,15.94,9.5,1.91,8.04,15.66,20.78
IDFCFIRSTB,IDFC First Bank,Banking,694,81.01,72,24.14,17.88,13.5,4.0,17.62,23.71,29.25
FEDERALBNK,Federal Bank,Banking,238,192.53,210,28.67,18.27,6.86,4.5,17.07,23.44,24.8
AUBANK,AU Small Finance Bank,Banking,64,909.11,780,16.15,16.89,14.4,4.63,12.04,10.11,29.98
YESBANK,Yes Bank,Banking,2381,17.17,21,20.01,13.22,9.0,1.94,8.56,15.34,25.9
MUTHOOTFIN,Muthoot Finance,Finance,19,3159.47,2600,29.24,16.72,9.23,4.66,21.31,24.99,31.38
CHOLAFIN,Cholamandalam Investment & Finance,Finance,33,1877.56,1500,25.13,15.85,13.62,5.08,20.83,11.09,25.53
JIOFIN,Jio Financial Services,Finance,167,296.7,300,11.82,13.3,14.32,3.33,17.38,22.58,23.57
ICICIGI,ICICI Lombard General Insurance,Insurance,26,2075.45,1900,28.9,13.23,17.64,4.53,14.37,13.35,31.02
ICICIPRULI,ICICI Prudential Life Insurance,Insurance,81,639.2,620,20.29,11.88,10.34,5.12,15.6,15.03,33.81
MAXHEALTH,Max Healthcare Institute,Healthcare,45,986.33,1120,41.89,24.51,36.25,0.13,14.14,22.77,26.64
FORTIS,Fortis Healthcare,Healthcare,54,1099.07,920,54.06,27.25,18.7,0.15,9.06,16.36,24.52
LUPIN,Lupin,Pharma,26,1564.55,1950,51.95,31.2,30.76,0.08,17.82,15.47,22.46
AUROPHARMA,Aurobindo Pharma,Pharma,43,1265.81,1150,49.22,36.12,30.74,0.15,14.17,13.52,29.72
ZYDUSLIFE,Zydus Lifesciences,Pharma,48,879.93,1050,50.24,26.19,39.8,0.44,12.39,22.88,19.87
TORNTPHARM,Torrent Pharmaceuticals,Pharma,14,3943.33,3600,30.45,26.93,26.01,0.55,13.37,9.53,24.22
ALKEM,Alkem Laboratories,Pharma,9,5195.3,5400,39.02,27.72,22.77,0.19,9.45,18.86,22.37
BIOCON,Biocon,Pharma,139,314.55,360,21.53,29.93,39.8,0.39,17.55,13.56,26.43
GLENMARK,Glenmark Pharmaceuticals,Pharma,24,1651.91,2050,37.34,34.98,28.77,0.29,14.67,21.78,16.52
MANKIND,Mankind Pharma,Pharma,20,2433.81,2500,35.99,25.27,44.11,0.24,15.51,9.62,26.11
TVSMOTOR,TVS Motor Company,Automobile,14,3726.88,3500,33.7,16.84,18.33,0.87,17.93,22.19,28.4
ASHOKLEY,Ashok Leyland,Automobile,345,129.72,145,35.5,26.58,31.95,0.13,6.96,17.62,31.96
TATAMOTORS,Tata Motors,Automobile,74,601.25,680,26.72,22.49,30.07,0.67,18.22,13.87,19.58
BOSCHLTD,Bosch,Automobile,1,47404.26,38000,36.5,20.19,27.85,0.44,8.04,15.62,22.69
MOTHERSON,Samvardhana Motherson International,Auto Components,476,122.11,105,17.13,12.58,21.22,0.66,9.37,23.26,31.93
BHARATFORG,Bharat Forge,Auto Components,37,1501.05,1350,21.89,12.84,20.83,0.82,18.62,18.55,18.15
MRF,MRF,Auto Components,1,153859.89,145000,30.86,13.59,19.69,0.48,9.5,21.91,28.22
APOLLOTYRE,Apollo Tyres,Auto Components,102,486.54,490,21.4,27.6,25.16,0.62,19.9,10.9,27.15
CEATLTD,CEAT,Auto Components,13,4290.4,3900,30.28,18.94,30.08,0.77,6.69,17.13,28.97
CUMMINSIND,Cummins India,Capital Goods,12,4701.97,4300,36.57,22.2,26.42,0.42,14.91,17.42,27.71
BHEL,Bharat Heavy Electricals,Capital Goods,200,229.4,250,37.64,17.93,23.59,0.91,15.05,11.18,28.05
CGPOWER,CG Power and Industrial Solutions,Capital Goods,66,676.03,760,17.43,19.71,31.43,0.77,8.46,7.64,22.72
POLYCAB,Polycab India,Capital Goods,7,7187.95,7400,39.66,24.52,26.93,0.33,17.55,14.64,31.29
HAVELLS,Havells India,Consumer Durables,33,1597.11,1500,24.03,31.38,44.42,0.09,19.56,21.62,29.48
DIXON,Dixon Technologies India,Electronics,3,13364.47,16500,36.72,18.19,25.46,0.81,6.19,15.73,23.85
VOLTAS,Voltas,Consumer Durables,34,1322.99,1450,40.46,14.6,41.64,0.52,8.41,10.97,27.51
BLUESTARCO,Blue Star,Consumer Durables,26,1820.16,1900,52.03,21.25,27.84,0.05,17.71,22.46,19.1
AMBUJACEM,Ambuja Cements,Cement,86,685.83,580,40.55,12.44,21.07,0.54,7.36,22.75,22.87
ACC,ACC,Cement,27,1689.3,1850,35.06,17.47,13.98,0.48,16.39,8.09,33.14
SHREECEM,Shree Cement,Cement,2,29208.12,29500,26.02,27.11,29.11,0.13,11.19,13.87,33.22
DALBHARAT,Dalmia Bharat,Cement,23,2600.71,2150,33.51,13.42,14.44,0.98,11.02,12.96,26.71
VEDL,Vedanta,Metals,189,224.85,265,13.28,20.59,13.63,1.03,9.54,-4.36,33.93
NMDC,NMDC,Mining,641,92.95,78,15.03,21.92,15.24,1.19,1.35,1.48,23.23
SAIL,Steel Authority of India,Metals,385,153.06,130,20.41,12.01,12.32,1.32,0.04,-1.1,22.05
JINDALSTEL,Jindal Steel,Metals,48,962.69,1050,6.41,10.79,10.0,1.23,2.0,4.71,22.27
HINDZINC,Hindustan Zinc,Metals,114,389.86,440,14.42,9.74,18.57,0.82,13.34,10.4,35.42
UPL,UPL,Chemicals,69,588.07,720,16.17,27.35,13.22,0.88,13.3,14.16,30.53
SRF,SRF,Chemicals,17,2984.71,3000,25.84,11.45,24.17,0.54,18.74,6.47,28.98
DEEPAKNTR,Deepak Nitrite,Chemicals,28,2219.84,1800,22.43,19.55,21.07,0.59,10.55,24.89,28.13
